"","ws2m","rh2m","tdew","tmax","tmin","tmoy","insol","ah"
"RWA",1.2647868453106,80.4938246041413,15.3707795371498,24.5012911084044,14.7658099878197,19.1893666260658,16.8530207064555,13.2591231794761
"STP",3.52008526187576,82.8680633373934,23.5568087697929,27.038221680877,26.3198416565164,26.7011693057247,16.6462180267966,21.019042887807
"SEN",2.85952496954933,41.9622777101096,10.7591839220463,36.5959683313033,22.5753836784409,29.1568696711328,21.3236540803898,11.846845403719
"SYC",4.43311814859927,80.0397685749086,23.8242021924482,27.8888306942753,27.1951887941535,27.575359317905,21.1503958587089,21.27516798874
"SLE",1.52008526187576,78.1431181485993,21.6641291108404,31.5975883069428,22.5214616321559,26.5608526187576,18.2668453105968,19.4967469085729
"SOM",4.44399512789281,58.9117295980512,17.9718392204629,35.0288063337393,22.3900852618758,28.1222777101096,22.5193909866017,16.1052144780368
"ZAF",3.17989037758831,40.3477588306943,2.71511571254568,27.4578319123021,10.8934348355664,18.860353227771,22.4232643118149,6.71033802095127
"SSD",2.16054811205847,60.2290864799026,17.6979902557856,33.6351766138855,22.737490864799,27.8767356881851,19.3087697929354,15.8303777107733
"SDN",3.15472594397077,38.5582825822168,6.87058465286236,33.6248599269184,18.9636784409257,25.7621802679659,22.2315834348356,9.47360855196487
"TZA",2.38069427527406,74.248574908648,16.2289524969549,27.8833373934227,16.7720706455542,21.828928136419,21.1458952496955,14.2120560588836
"TGO",1.70852618757613,73.6575517661389,19.6998051157125,31.021412911084,21.3252253349574,25.7709987819732,18.4654689403167,17.621486687965
"TUN",3.16848964677223,51.6995371498173,7.88646772228989,27.4413641900122,14.1313641900122,20.1866017052375,19.5487210718636,9.18749837446154
"UGA",2.0804628501827,68.862509135201,17.4423142509135,28.8694031668697,19.9485992691839,24.1295249695493,20.2840925700365,14.9904960651818
"ZMB",2.39778319123021,68.5974543239951,13.685712545676,27.5910353227771,15.4217295980512,21.0580755176614,20.4070645554202,12.5507742695818
"ZWE",2.60082825822168,59.5066747868453,10.8425456760049,28.3051887941535,14.1727527405603,20.7531668696711,20.8015225334957,10.8701120930277
